Channel:,Lum
Means:,380.9788
Note: Peaks measured from 20% upward
Peaks:,151
PeaksLevels:,835
0, 0
1, 8504
2, 22956
3, 31132
4, 48479
5, 64067
6, 78338
7, 84838
8, 83103
9, 75591
10, 65231
11, 53495
12, 44140
13, 34896
14, 29174
15, 22989
16, 18312
17, 15077
18, 12060
19, 9831
20, 8218
21, 6979
22, 5754
23, 4944
24, 4229
25, 3529
26, 3022
27, 2643
28, 2257
29, 1996
30, 1733
31, 1583
32, 1374
33, 1324
34, 1177
35, 1087
36, 1043
37, 1029
38, 961
39, 882
40, 861
41, 806
42, 803
43, 761
44, 755
45, 672
46, 712
47, 688
48, 698
49, 630
50, 587
51, 608
52, 606
53, 637
54, 593
55, 596
56, 535
57, 577
58, 564
59, 542
60, 516
61, 510
62, 532
63, 545
64, 553
65, 547
66, 506
67, 488
68, 465
69, 478
70, 504
71, 480
72, 497
73, 497
74, 491
75, 458
76, 481
77, 468
78, 444
79, 487
80, 428
81, 458
82, 457
83, 452
84, 447
85, 439
86, 446
87, 460
88, 446
89, 424
90, 444
91, 404
92, 462
93, 400
94, 430
95, 409
96, 411
97, 444
98, 419
99, 364
100, 405
101, 386
102, 378
103, 407
104, 387
105, 410
106, 386
107, 395
108, 326
109, 397
110, 349
111, 378
112, 392
113, 375
114, 353
115, 369
116, 356
117, 367
118, 409
119, 354
120, 374
121, 349
122, 375
123, 357
124, 374
125, 330
126, 364
127, 333
128, 341
129, 332
130, 350
131, 335
132, 330
133, 350
134, 324
135, 330
136, 351
137, 346
138, 350
139, 317
140, 339
141, 331
142, 325
143, 307
144, 299
145, 348
146, 313
147, 329
148, 320
149, 321
150, 340
151, 316
152, 306
153, 319
154, 293
155, 293
156, 301
157, 315
158, 323
159, 298
160, 275
161, 285
162, 323
163, 305
164, 266
165, 306
166, 303
167, 287
168, 296
169, 300
170, 284
171, 315
172, 281
173, 326
174, 322
175, 295
176, 271
177, 290
178, 293
179, 284
180, 286
181, 319
182, 304
183, 268
184, 267
185, 301
186, 262
187, 245
188, 258
189, 290
190, 318
191, 268
192, 302
193, 309
194, 288
195, 278
196, 264
197, 278
198, 266
199, 274
200, 273
201, 278
202, 283
203, 279
204, 224
205, 253
206, 263
207, 250
208, 275
209, 277
210, 267
211, 258
212, 247
213, 272
214, 269
215, 271
216, 257
217, 269
218, 235
219, 264
220, 236
221, 243
222, 276
223, 256
224, 230
225, 264
226, 234
227, 285
228, 244
229, 247
230, 240
231, 244
232, 226
233, 239
234, 264
235, 241
236, 236
237, 219
238, 268
239, 247
240, 209
241, 274
242, 227
243, 233
244, 244
245, 262
246, 249
247, 231
248, 232
249, 276
250, 259
251, 275
252, 232
253, 222
254, 243
255, 238
256, 219
257, 231
258, 266
259, 259
260, 252
261, 246
262, 242
263, 237
264, 247
265, 248
266, 218
267, 218
268, 240
269, 249
270, 246
271, 227
272, 226
273, 222
274, 247
275, 223
276, 236
277, 250
278, 223
279, 218
280, 232
281, 252
282, 212
283, 227
284, 233
285, 219
286, 230
287, 228
288, 230
289, 228
290, 178
291, 213
292, 204
293, 203
294, 226
295, 202
296, 189
297, 218
298, 208
299, 181
300, 215
301, 202
302, 238
303, 219
304, 203
305, 243
306, 227
307, 218
308, 194
309, 223
310, 214
311, 233
312, 222
313, 240
314, 219
315, 191
316, 234
317, 235
318, 187
319, 174
320, 214
321, 217
322, 218
323, 237
324, 234
325, 215
326, 211
327, 224
328, 193
329, 211
330, 240
331, 209
332, 186
333, 202
334, 215
335, 217
336, 216
337, 207
338, 219
339, 192
340, 182
341, 231
342, 192
343, 212
344, 185
345, 218
346, 213
347, 225
348, 210
349, 190
350, 214
351, 203
352, 185
353, 210
354, 204
355, 178
356, 212
357, 219
358, 223
359, 193
360, 190
361, 203
362, 213
363, 195
364, 208
365, 193
366, 207
367, 199
368, 210
369, 202
370, 185
371, 173
372, 193
373, 207
374, 196
375, 188
376, 185
377, 229
378, 189
379, 185
380, 196
381, 191
382, 210
383, 198
384, 219
385, 215
386, 203
387, 224
388, 196
389, 196
390, 202
391, 197
392, 212
393, 203
394, 184
395, 207
396, 189
397, 197
398, 182
399, 202
400, 171
401, 200
402, 186
403, 176
404, 193
405, 188
406, 198
407, 195
408, 165
409, 189
410, 170
411, 215
412, 213
413, 213
414, 198
415, 189
416, 185
417, 191
418, 187
419, 189
420, 198
421, 187
422, 195
423, 171
424, 175
425, 200
426, 183
427, 181
428, 182
429, 187
430, 188
431, 205
432, 184
433, 194
434, 187
435, 183
436, 174
437, 174
438, 192
439, 193
440, 191
441, 177
442, 181
443, 177
444, 173
445, 205
446, 152
447, 178
448, 165
449, 207
450, 171
451, 203
452, 171
453, 219
454, 201
455, 171
456, 165
457, 192
458, 177
459, 183
460, 176
461, 167
462, 204
463, 159
464, 209
465, 187
466, 183
467, 179
468, 162
469, 190
470, 158
471, 177
472, 159
473, 172
474, 167
475, 181
476, 156
477, 172
478, 177
479, 163
480, 170
481, 193
482, 185
483, 192
484, 175
485, 168
486, 156
487, 166
488, 174
489, 146
490, 156
491, 175
492, 183
493, 165
494, 159
495, 181
496, 174
497, 158
498, 175
499, 156
500, 188
501, 164
502, 167
503, 168
504, 186
505, 185
506, 160
507, 144
508, 167
509, 180
510, 147
511, 157
512, 134
513, 157
514, 187
515, 186
516, 154
517, 151
518, 177
519, 157
520, 172
521, 153
522, 174
523, 163
524, 163
525, 167
526, 172
527, 155
528, 184
529, 183
530, 157
531, 148
532, 160
533, 161
534, 174
535, 169
536, 158
537, 183
538, 141
539, 157
540, 167
541, 150
542, 168
543, 155
544, 169
545, 159
546, 160
547, 135
548, 144
549, 147
550, 164
551, 137
552, 139
553, 165
554, 160
555, 167
556, 160
557, 163
558, 140
559, 170
560, 157
561, 157
562, 156
563, 144
564, 164
565, 154
566, 171
567, 150
568, 152
569, 145
570, 124
571, 152
572, 137
573, 166
574, 170
575, 163
576, 179
577, 145
578, 179
579, 144
580, 141
581, 167
582, 167
583, 156
584, 159
585, 161
586, 131
587, 142
588, 167
589, 140
590, 140
591, 157
592, 133
593, 135
594, 165
595, 112
596, 136
597, 145
598, 149
599, 159
600, 141
601, 162
602, 156
603, 154
604, 149
605, 165
606, 140
607, 143
608, 147
609, 141
610, 148
611, 140
612, 146
613, 182
614, 145
615, 141
616, 146
617, 150
618, 144
619, 140
620, 143
621, 145
622, 140
623, 141
624, 136
625, 161
626, 162
627, 126
628, 147
629, 134
630, 160
631, 139
632, 116
633, 135
634, 151
635, 131
636, 145
637, 136
638, 131
639, 146
640, 148
641, 146
642, 146
643, 135
644, 131
645, 144
646, 145
647, 150
648, 139
649, 152
650, 130
651, 138
652, 125
653, 145
654, 154
655, 154
656, 143
657, 138
658, 136
659, 148
660, 143
661, 131
662, 131
663, 146
664, 147
665, 115
666, 146
667, 138
668, 130
669, 119
670, 126
671, 124
672, 156
673, 150
674, 120
675, 120
676, 108
677, 131
678, 134
679, 148
680, 126
681, 149
682, 140
683, 143
684, 132
685, 142
686, 151
687, 136
688, 146
689, 125
690, 144
691, 152
692, 140
693, 142
694, 124
695, 128
696, 126
697, 143
698, 141
699, 110
700, 146
701, 149
702, 139
703, 117
704, 131
705, 130
706, 142
707, 134
708, 131
709, 122
710, 127
711, 126
712, 108
713, 152
714, 128
715, 144
716, 121
717, 125
718, 127
719, 128
720, 131
721, 135
722, 132
723, 129
724, 132
725, 116
726, 139
727, 105
728, 117
729, 134
730, 136
731, 119
732, 123
733, 114
734, 145
735, 116
736, 116
737, 97
738, 145
739, 132
740, 126
741, 122
742, 130
743, 120
744, 127
745, 131
746, 112
747, 108
748, 137
749, 144
750, 124
751, 124
752, 132
753, 136
754, 144
755, 127
756, 129
757, 131
758, 115
759, 130
760, 119
761, 136
762, 122
763, 127
764, 119
765, 135
766, 131
767, 111
768, 122
769, 94
770, 135
771, 119
772, 121
773, 148
774, 100
775, 104
776, 107
777, 113
778, 120
779, 124
780, 140
781, 117
782, 122
783, 132
784, 130
785, 140
786, 120
787, 119
788, 122
789, 108
790, 118
791, 126
792, 127
793, 131
794, 127
795, 110
796, 117
797, 117
798, 111
799, 132
800, 96
801, 118
802, 111
803, 95
804, 124
805, 103
806, 109
807, 110
808, 107
809, 108
810, 100
811, 120
812, 116
813, 110
814, 130
815, 111
816, 123
817, 113
818, 134
819, 124
820, 108
821, 124
822, 109
823, 124
824, 118
825, 125
826, 128
827, 108
828, 112
829, 121
830, 127
831, 123
832, 101
833, 114
834, 117
835, 151
836, 123
837, 113
838, 116
839, 114
840, 131
841, 122
842, 122
843, 121
844, 118
845, 101
846, 116
847, 105
848, 109
849, 138
850, 112
851, 141
852, 102
853, 120
854, 129
855, 114
856, 119
857, 120
858, 101
859, 121
860, 123
861, 125
862, 126
863, 124
864, 118
865, 119
866, 115
867, 96
868, 101
869, 105
870, 120
871, 119
872, 89
873, 114
874, 110
875, 105
876, 115
877, 103
878, 103
879, 113
880, 106
881, 132
882, 123
883, 117
884, 99
885, 120
886, 102
887, 113
888, 114
889, 104
890, 110
891, 128
892, 105
893, 109
894, 108
895, 109
896, 108
897, 83
898, 116
899, 95
900, 111
901, 109
902, 126
903, 139
904, 108
905, 127
906, 125
907, 117
908, 115
909, 123
910, 111
911, 111
912, 105
913, 109
914, 106
915, 99
916, 130
917, 123
918, 111
919, 114
920, 112
921, 95
922, 117
923, 117
924, 95
925, 102
926, 113
927, 104
928, 117
929, 103
930, 121
931, 91
932, 110
933, 114
934, 114
935, 131
936, 96
937, 112
938, 114
939, 115
940, 120
941, 115
